Measurement,LeftDistance,FrontDistance,RightDistance,LeftWheelDistance,RightWheelDistance
0, 50, -1, 65, 0.00, 0.00
1, 51, -1, 63, 0.00, 0.00
2, 51, -1, 62, 0.00, 0.00
3, 51, -1, 60, 0.21, 0.21
4, 52, -1, 59, 0.21, 0.21
5, 53, -1, 57, 0.21, 0.41
6, 55, -1, 55, 0.41, 0.41
7, 56, -1, 54, 0.41, 0.41
8, 57, -1, 35, 0.62, 0.62
9, 57, -1, 35, 0.62, 0.62
10, 58, -1, 37, 0.62, 0.62
11, 58, -1, 35, 0.62, 0.83
12, 58, 140, 35, 0.83, 0.83
13, 60, 134, 35, 1.04, 0.83
14, 62, 128, 35, 1.04, 0.83
15, 64, 125, 35, 1.04, 1.04
16, 63, 118, 35, 1.24, 1.04
17, 63, 112, 35, 1.24, 1.04
18, 63, 108, 35, 1.24, 1.24
19, 62, 102, 34, 1.24, 1.24
20, 62, 96, 35, 1.45, 1.24
21, 62, 327, 35, 1.45, 1.45
22, 61, 83, 35, 1.66, 1.45
23, 60, 300, 36, 1.66, 1.45
24, 61, 315, 36, 1.66, 1.66
25, 61, 314, 35, 1.66, 1.66
26, 62, 308, 35, 1.87, 1.66
27, 60, 300, 36, 1.87, 1.66
28, 51, 296, 36, 1.87, 1.87
29, 46, 288, 35, 2.07, 1.87
30, 66, 281, 36, 2.07, 1.87
31, 43, 277, 36, 2.07, 2.07
32, 42, 250, 36, 2.07, 2.07
33, 44, 240, 36, 2.28, 2.07
34, 59, 256, 36, 2.28, 2.07
35, 34, 248, 41, 2.28, 2.28
36, 31, 128, 37, 2.49, 2.28
37, 30, 125, 38, 2.49, 2.28
38, 32, 237, 37, 2.49, 2.28
39, 29, 209, 38, 2.70, 2.49
40, 32, 109, 37, 2.70, 2.49
41, 30, 103, 36, 2.70, 2.49
42, 31, 183, 36, 2.90, 2.70
43, 33, 179, 36, 2.90, 2.70
44, 58, 173, 37, 2.90, 2.70
45, 58, 173, 37, 2.90, 2.70
46, 58, 172, 37, 2.90, 2.70
47, 58, 168, 37, 2.90, 2.70
48, 57, 166, 38, 3.11, 2.70
49, 57, 168, 39, 3.11, 2.70
50, 57, 168, 40, 3.11, 2.70
51, 59, 164, 48, 3.11, 2.90
52, 60, 86, 48, 3.11, 2.90
53, 61, 85, 49, 3.11, 2.90
54, 63, 82, 50, 3.32, 2.90
55, 63, 80, 40, 3.32, 2.90
56, 97, 79, 40, 3.32, 2.90
57, 99, 77, 40, 3.32, 2.90
58, 66, 76, 52, 3.32, 2.90
59, 65, 76, 129, 3.32, 2.90
60, 93, 75, 51, 3.32, 2.90
61, 93, 73, 131, 3.32, 2.90
62, 93, 72, 254, 3.32, 2.90
63, 92, 70, 47, 3.52, 2.90
64, 93, 68, 48, 3.52, 2.90
65, 99, 66, 51, 3.52, 2.90
66, 100, 66, 49, 3.52, 2.90
67, 96, 63, 46, 3.52, 2.90
68, 96, 161, 46, 3.52, 2.90
69, 96, 132, 42, 3.52, 2.90
70, 96, 130, 46, 3.52, 2.90
71, 100, 129, 44, 3.73, 2.90
72, 102, 126, 43, 3.73, 2.90
73, -1, 123, 36, 3.73, 3.11
74, 157, 144, 33, 3.73, 3.11
75, 106, 144, 34, 3.73, 3.11
76, 155, 116, 41, 3.73, 3.11
77, 153, 112, 32, 3.94, 3.11
78, 246, 133, 29, 3.94, 3.11
79, 249, 117, 32, 3.94, 3.32
80, 247, 128, 37, 3.94, 3.32
81, 214, 102, 35, 3.94, 3.32
82, 141, 121, 29, 4.15, 3.32
83, 31, 108, 31, 4.15, 3.32
84, 30, 105, 31, 4.35, 3.32
85, 27, -1, 38, 4.35, 3.32
86, 28, -1, 34, 4.35, 3.32
87, 71, -1, 36, 4.56, 3.52
88, 64, -1, 37, 4.56, 3.73
89, 65, 267, 37, 4.56, 3.73
90, 66, 260, 38, 4.77, 3.73
91, 64, -1, 40, 4.77, 3.94
92, 68, 257, 42, 4.77, 4.15
93, 49, -1, 43, 4.77, 4.15
94, 73, -1, 44, 4.77, 4.15
95, 73, -1, 46, 4.98, 4.15
96, 73, -1, 46, 4.98, 4.15
97, 74, -1, 47, 4.98, 4.35
98, 59, -1, 49, 4.98, 4.35
99, 47, -1, 52, 4.98, 4.35
100, 55, -1, 55, 5.18, 4.56
101, 54, -1, 23, 5.18, 4.56
102, 54, -1, 24, 5.18, 4.56
103, 53, -1, 21, 5.18, 4.56
104, 117, 193, 22, 5.39, 4.77
105, 47, 187, 24, 5.39, 4.77
106, 43, 180, 27, 5.39, 4.77
107, 42, 173, 30, 5.60, 4.98
108, 43, 166, 32, 5.60, 4.98
109, 230, 160, 37, 5.60, 4.98
110, 230, 160, 37, 5.60, 4.98
111, 231, 159, 37, 5.60, 4.98
112, 230, 159, 40, 5.60, 4.98
113, 41, 313, 42, 5.81, 5.18
114, -1, 308, 42, 5.81, 5.18
115, -1, 304, 44, 5.81, 5.18
116, 378, 298, 48, 6.01, 5.39
117, 364, 292, 47, 6.01, 5.39
118, 363, 287, 49, 6.01, 5.39
119, 362, 238, 51, 6.01, 5.39
120, 360, 122, 54, 6.22, 5.60
121, 340, 119, 53, 6.22, 5.60
122, 341, 170, 54, 6.22, 5.60
123, 341, 136, 55, 6.22, 5.60
124, 340, 133, 55, 6.22, 5.60
125, 338, 110, 58, 6.43, 5.60
126, 339, 199, 61, 6.43, 5.81
127, 338, 111, 64, 6.43, 5.81
128, 336, 242, 67, 6.64, 5.81
129, 358, 240, 67, 6.64, 5.81
130, 333, -1, 67, 6.64, 5.81
131, 331, 167, 72, 6.64, 6.01
132, 330, 158, 73, 6.84, 6.01
133, 302, 155, 77, 6.84, 6.22
134, 301, 151, 79, 6.84, 6.22
135, 119, 237, 58, 6.84, 6.64
136, 120, 232, 57, 6.84, 6.64
137, 120, 230, 58, 6.84, 6.64
138, 120, 224, 57, 7.05, 6.84
139, 120, 225, 137, 7.05, 6.84
140, 120, 253, 58, 7.05, 6.84
141, 123, 135, 57, 7.26, 7.05
142, 120, 126, 57, 7.26, 7.05
143, 118, 191, 57, 7.26, 7.05
144, 119, 108, 58, 7.46, 7.26
145, 119, 102, 58, 7.46, 7.26
146, 120, 172, 58, 7.46, 7.26
147, 120, 149, 59, 7.67, 7.26
148, 118, 168, 59, 7.88, 7.46
149, 119, 161, 58, 7.88, 7.67
150, 118, 144, 59, 7.88, 7.67
151, 118, 156, 58, 7.88, 7.67
152, 118, 156, 57, 7.88, 7.67
153, 118, 135, 58, 8.09, 7.67
154, 118, 133, 57, 8.09, 7.67
155, 119, 147, 57, 8.09, 7.88
156, 119, 140, 57, 8.09, 7.88
157, 121, 109, 59, 8.29, 7.88
158, 121, 130, 134, 8.29, 8.09
Measurement,LeftDistance,FrontDistance,RightDistance,LeftWheelDistance,RightWheelDistance
