Measurement,LeftDistance,FrontDistance,RightDistance,LeftWheelDistance,RightWheelDistance
0, 50, -1, 38, 0.00, 0.00
1, 51, -1, 65, 0.00, 0.00
2, 52, -1, 63, 0.21, 0.00
3, 53, -1, 61, 0.21, 0.21
4, 52, -1, 60, 0.21, 0.21
5, 52, -1, 58, 0.41, 0.21
6, 53, -1, 57, 0.41, 0.41
7, 55, -1, 55, 0.41, 0.41
8, 56, -1, 54, 0.62, 0.41
9, 57, -1, 53, 0.62, 0.62
10, 57, -1, 38, 0.62, 0.62
11, 58, -1, 35, 0.62, 0.62
12, 58, -1, 34, 0.62, 0.62
13, 58, -1, 39, 0.83, 0.62
14, 58, -1, 37, 0.83, 0.83
15, 58, -1, 35, 0.83, 0.83
16, 60, -1, 35, 0.83, 0.83
17, 64, -1, 34, 0.83, 0.83
18, 64, -1, 34, 1.04, 0.83
19, 63, -1, 34, 1.04, 0.83
20, 63, -1, 34, 1.04, 0.83
21, 63, -1, 34, 1.04, 1.04
22, 64, -1, 34, 1.04, 1.24
23, 63, 380, 34, 1.04, 1.24
24, 64, 128, 35, 1.04, 1.24
25, 63, 124, 34, 1.04, 1.24
26, 63, 117, 34, 1.04, 1.24
27, 63, 110, 34, 1.24, 1.45
28, 63, 105, 34, 1.24, 1.45
29, 63, 101, 34, 1.24, 1.45
30, 63, 98, 34, 1.24, 1.45
31, 62, 337, 34, 1.45, 1.66
32, 62, 84, 35, 1.45, 1.66
33, 61, 79, 34, 1.45, 1.66
34, 61, 77, 34, 1.45, 1.66
35, 61, 318, 34, 1.66, 1.87
36, 63, 313, 35, 1.66, 1.87
37, 63, 308, 35, 1.66, 1.87
38, 62, 290, 35, 1.66, 1.87
39, 64, 303, 35, 1.66, 1.87
40, 50, 297, 37, 1.87, 2.07
41, -1, 291, 36, 1.87, 2.07
42, 47, 282, 37, 1.87, 2.07
43, 46, 279, 37, 2.07, 2.28
44, 47, 256, 37, 2.07, 2.28
45, 44, 266, 37, 2.07, 2.28
46, 43, 247, 36, 2.07, 2.28
47, 43, 238, 36, 2.28, 2.28
48, 37, 253, 37, 2.28, 2.49
49, 32, 227, 42, 2.28, 2.49
50, 30, 236, 36, 2.49, 2.70
51, 30, 229, 38, 2.49, 2.70
52, 30, 166, 37, 2.49, 2.70
53, 29, 104, 36, 2.70, 2.90
54, 31, 95, 37, 2.70, 2.90
55, 33, 189, 37, 2.70, 2.90
56, 56, 174, 37, 2.90, 2.90
57, 57, 173, 37, 2.90, 2.90
58, 57, 172, 37, 2.90, 2.90
59, 57, 233, 38, 2.90, 3.11
60, 57, 171, 39, 2.90, 3.11
61, 56, 167, 39, 2.90, 3.11
62, 57, 168, 40, 3.11, 3.11
63, 59, 167, 49, 3.11, 3.11
64, 61, 167, 49, 3.11, 3.11
65, 62, 165, 48, 3.11, 3.11
66, 60, 87, 49, 3.11, 3.11
67, 60, 86, 49, 3.11, 3.11
68, 62, 83, 50, 3.11, 3.11
69, 63, 80, 40, 3.11, 3.11
70, 97, 78, 40, 3.32, 3.11
71, 96, 76, 41, 3.32, 3.11
72, 96, 77, 129, 3.32, 3.11
73, 66, 74, 50, 3.32, 3.11
74, 93, 74, 133, 3.32, 3.11
75, 94, 73, 133, 3.32, 3.11
76, 93, 71, 47, 3.32, 3.11
77, 92, 70, 47, 3.32, 3.11
78, 93, 69, 47, 3.32, 3.11
79, 98, 66, 50, 3.32, 3.11
80, 100, 65, 48, 3.52, 3.11
81, 100, 64, 47, 3.52, 3.11
82, 96, 163, 47, 3.52, 3.11
83, 97, 130, 39, 3.52, 3.32
84, 99, 128, 44, 3.52, 3.32
85, 99, 127, 35, 3.52, 3.32
86, 99, 128, 34, 3.52, 3.32
87, 253, 124, 34, 3.52, 3.32
88, 107, 120, 33, 3.73, 3.32
89, 169, 115, 30, 3.73, 3.32
90, 155, 125, 32, 3.73, 3.32
91, 155, 109, 32, 3.73, 3.32
92, 215, 108, 30, 3.73, 3.52
93, 245, 129, 36, 3.94, 3.52
94, 242, 120, 30, 3.94, 3.52
95, 226, 119, 30, 3.94, 3.52
96, 36, 114, 29, 4.15, 3.52
97, 34, 112, 30, 4.15, 3.73
98, 31, -1, 30, 4.15, 3.73
99, 107, -1, 36, 4.35, 3.73
Measurement,LeftDistance,FrontDistance,RightDistance,LeftWheelDistance,RightWheelDistance
